subject,spikeStart,channels,numChannels
tester1,1410,"['5', '4', '3']",3
tester1,2313,"['5', '4', '3']",3
tester1,3151,"['5', '3']",2
tester1,3650,['3'],1
tester1,4063,"['5', '3']",2
tester1,4502,"['5', '4', '3']",3
tester1,5150,"['2', '1', '4', '3', '0', '6', '5']",7
tester1,5862,"['10', '7', '11', '9', '4', '3', '8']",7
tester1,6412,"['5', '4', '3']",3
tester1,7308,"['5', '4', '3']",3
tester1,7969,['3'],1
tester1,8487,['3'],1
tester1,9086,['3'],1
tester1,9908,"['5', '4']",2
tester1,10761,"['4', '3']",2
tester1,11721,['3'],1
tester1,13216,"['4', '3']",2
tester1,13763,['5'],1
tester1,15669,"['5', '4', '3']",3
tester1,15868,"['5', '4']",2
tester1,17141,"['5', '4', '3']",3
tester1,18250,['3'],1
tester1,20846,['3'],1
tester1,21498,"['5', '4', '3']",3
tester1,22698,['3'],1
tester1,24237,['3'],1
tester1,24948,['3'],1
tester1,25487,"['5', '3']",2
tester1,26100,"['4', '3']",2
tester1,28012,['3'],1
tester1,29343,"['5', '3']",2
tester1,29998,"['5', '4', '3']",3
tester1,30398,['3'],1
tester1,31288,"['4', '3']",2
tester1,31769,"['4', '3']",2
tester1,33002,"['4', '3']",2
tester1,33974,"['4', '3']",2
tester1,34664,"['4', '3']",2
tester1,35368,"['4', '3']",2
tester1,36683,['3'],1
tester1,37620,['3'],1
tester1,39125,"['2', '3']",2
tester1,40006,"['4', '3']",2
tester1,41741,['3'],1
tester1,43713,['3'],1
tester1,44494,['3'],1
tester1,45715,['3'],1
tester1,49184,['3'],1
tester1,51622,['2'],1
tester1,51975,"['2', '1', '4', '3', '5']",5
tester1,52683,['3'],1
tester1,56252,['3'],1
tester1,57161,"['5', '3']",2
tester1,61866,['3'],1
tester1,62522,"['9', '8', '11', '3']",4
tester1,67681,"['10', '9', '8']",3
tester1,69561,"['5', '2', '4', '3']",4
tester1,71695,['3'],1
tester1,72624,['3'],1
tester1,73256,['3'],1
tester1,73795,['3'],1
tester1,74488,['3'],1
tester1,74892,['3'],1
tester1,75319,['3'],1
tester1,76150,['3'],1
tester1,79939,"['5', '4', '3']",3
tester1,80682,['3'],1
tester1,83863,"['4', '3']",2
tester1,85293,['3'],1
tester1,86272,['3'],1
tester1,86835,['3'],1
tester1,87631,['3'],1
tester1,88612,['3'],1
tester1,89527,"['2', '5', '6']",3
tester1,90793,['3'],1
tester1,91302,"['2', '4', '3']",3
tester1,91819,"['2', '5', '4', '3']",4
tester1,94324,['3'],1
tester1,94788,['3'],1
tester1,95812,['3'],1
tester1,96614,"['2', '3']",2
tester1,97684,"['4', '3']",2
tester1,98416,['3'],1
tester1,98995,['3'],1
tester1,99344,['3'],1
tester1,100042,['3'],1
tester1,100526,['3'],1
tester1,101358,['3'],1
tester1,102900,['3'],1
tester1,105564,['3'],1
tester1,105876,['3'],1
tester1,109098,"['5', '4', '3']",3
tester1,110337,"['9', '7', '8', '3']",4
tester1,110902,['3'],1
tester1,111928,['3'],1
tester1,114378,['3'],1
tester1,115074,['3'],1
tester1,115797,"['0', '4', '3']",3
tester1,116589,['3'],1
tester1,118369,['3'],1
tester1,118577,"['4', '3']",2
tester1,119790,['3'],1
tester1,121107,['3'],1
tester1,121744,"['5', '3']",2
tester1,122253,"['1', '5', '4', '3', '2']",5
tester1,123193,['2'],1
tester1,123359,"['5', '2', '4', '3']",4
tester1,124029,['3'],1
tester1,124602,['3'],1
tester1,125451,['3'],1
tester1,128075,['3'],1
tester1,129116,"['5', '4', '3']",3
tester1,130243,"['5', '4', '3']",3
tester1,130953,"['6', '5', '4', '3']",4
tester1,131442,"['6', '5', '4', '3']",4
tester1,132131,"['6', '5', '4', '3']",4
tester1,132652,"['6', '5', '4']",3
tester1,133682,"['6', '5', '4', '3']",4
tester1,134367,"['6', '5', '4', '3']",4
tester1,135010,"['5', '4']",2
tester1,135637,['3'],1
tester1,136152,"['5', '4', '3']",3
tester1,136790,"['6', '5', '4', '3']",4
tester1,137803,"['5', '4']",2
tester1,138491,"['1', '3', '5', '6', '4', '2']",6
tester1,138859,"['6', '5', '4', '3']",4
tester1,139943,"['1', '5', '4', '3', '2']",5
tester1,140111,"['1', '7', '9', '3', '5', '6', '0', '4', '8', '2']",10
tester1,141524,"['5', '4', '3']",3
tester1,142379,"['5', '4', '3']",3
tester1,142785,"['3', '5', '6', '4', '2']",5
tester1,144261,"['5', '4', '3']",3
tester1,145170,"['5', '4', '3']",3
tester1,145713,"['6', '5', '4', '3']",4
tester1,146220,"['5', '4', '3']",3
tester1,147228,"['5', '4', '3']",3
tester1,148011,"['5', '2', '4', '3']",4
tester1,149503,"['5', '3']",2
tester1,150408,"['5', '2', '4', '3']",4
tester1,152278,"['4', '3']",2
tester1,153347,"['5', '4', '3']",3
tester1,154018,"['5', '4', '3']",3
tester1,154650,"['5', '4', '3']",3
tester1,155143,['5'],1
tester1,155954,"['8', '5', '4', '3']",4
tester1,156362,"['10', '7', '4']",3
tester1,156911,"['5', '4', '3']",3
tester1,157889,['3'],1
tester1,158427,['3'],1
tester1,158936,"['5', '4', '3']",3
tester1,160097,"['1', '2', '4', '3']",4
tester1,160732,"['5', '4', '3']",3
tester1,161279,['3'],1
tester1,161641,"['5', '4', '3']",3
tester1,162436,"['4', '3']",2
tester1,163608,['3'],1
tester1,164204,['3'],1
tester1,164967,['3'],1
tester1,165291,"['4', '3']",2
tester1,167472,"['4', '3']",2
tester1,168139,['3'],1
tester1,168744,"['4', '3']",2
tester1,170165,"['5', '4', '3']",3
tester1,170912,"['5', '4', '3']",3
tester1,171611,['2'],1
tester1,171862,"['4', '3']",2
tester1,172751,"['2', '3']",2
tester1,173301,['3'],1
tester1,174675,"['5', '4', '3']",3
tester1,174962,"['2', '4', '3']",3
tester1,175679,"['5', '2', '4', '3']",4
tester1,176819,['3'],1
tester1,178043,['3'],1
tester1,178587,['3'],1
tester1,180026,['3'],1
tester1,180369,['3'],1
tester1,181034,"['10', '7', '11', '9', '6', '3', '8']",7
tester1,182468,"['1', '0', '3']",3
tester1,183009,"['4', '3']",2
tester1,184814,"['10', '7', '9', '3', '8']",5
tester1,185653,['3'],1
tester1,187315,"['10', '7', '9', '4', '3', '8', '5']",7
tester1,188477,['3'],1
tester1,189116,['3'],1
tester1,190392,['3'],1
tester1,190701,['3'],1
tester1,191448,['3'],1
tester1,191904,"['4', '3']",2
tester1,192546,['3'],1
tester1,193226,['3'],1
tester1,193645,"['5', '4', '3']",3
tester1,194689,"['5', '3']",2
tester1,195467,"['5', '4']",2
tester1,196074,"['6', '5', '4', '3']",4
tester1,196731,"['5', '4', '3']",3
tester1,197470,"['7', '4', '3', '8', '5']",5
tester1,198022,"['5', '4', '3']",3
tester1,198494,"['6', '5', '4']",3
tester1,199033,"['2', '6', '5', '4']",4
tester1,200218,"['6', '5', '4', '3']",4
tester1,200970,"['6', '5', '4', '3']",4
tester1,201455,"['5', '4', '3']",3
tester1,202753,"['5', '4', '3']",3
tester1,203285,"['2', '3', '6', '0', '4', '5']",6
tester1,203771,"['5', '4', '3']",3
tester1,204543,"['5', '4', '3']",3
tester1,205882,"['5', '4', '3']",3
tester1,206777,"['5', '4', '3']",3
tester1,207976,"['5', '4', '3']",3
tester1,208772,"['1', '3', '0', '4', '5']",5
tester1,209417,"['5', '4', '3']",3
tester1,210040,"['5', '4']",2
tester1,210547,['3'],1
tester1,211359,"['4', '3']",2
tester1,211982,['3'],1
tester1,212267,['10'],1
tester1,212906,"['4', '3']",2
tester1,213607,['3'],1
tester1,214219,['3'],1
tester1,214741,"['5', '4', '3']",3
tester1,215005,['3'],1
tester1,215894,"['4', '3']",2
tester1,216399,"['5', '3']",2
tester1,216854,['3'],1
tester1,218280,"['4', '3']",2
tester1,219633,['3'],1
tester1,220013,"['4', '3']",2
tester1,220476,"['2', '5', '4', '3']",4
tester1,221050,['3'],1
tester1,222029,['3'],1
tester1,222302,"['5', '4', '3']",3
tester1,224162,['3'],1
tester1,225036,"['5', '2', '4', '3']",4
tester1,226114,"['4', '3']",2
tester1,226665,['3'],1
tester1,227789,['3'],1
tester1,228422,"['5', '4', '3']",3
tester1,229792,"['5', '3']",2
tester1,230283,"['5', '4', '3']",3
tester1,231191,['3'],1
tester1,231695,['3'],1
tester1,231979,"['10', '11', '9', '6', '3', '8']",6
tester1,232637,['3'],1
tester1,234157,"['5', '4', '3']",3
tester1,234550,['3'],1
tester1,235415,"['5', '4', '3']",3
tester1,236143,['3'],1
tester1,236962,['3'],1
tester1,237850,['3'],1
tester1,238488,"['5', '3']",2
tester1,239903,['3'],1
tester1,240688,"['4', '3']",2
tester1,241395,"['4', '3']",2
tester1,241894,['3'],1
tester1,242353,['3'],1
tester1,242923,"['5', '3']",2
tester1,244711,['3'],1
tester1,245128,"['2', '4', '3']",3
tester1,245656,"['4', '3']",2
tester1,247340,"['5', '4', '3']",3
tester1,247886,['3'],1
tester1,248519,['3'],1
tester1,250531,"['5', '4', '3']",3
tester1,252010,"['9', '8', '3']",3
tester1,255147,['3'],1
tester1,255741,"['2', '1', '7', '3', '6', '4', '0', '5']",8
